question_vi,answer_vi
Có bao nhiêu mục nội dung cần kiểm tra khi check nhãn và một số mục chính là gì?,"Có 20 mục cần kiểm tra khi check nhãn, bao gồm: 1) Tên thương mại; 2) Hoạt chất, hàm lượng; 3) Số đăng ký; 4) Số hợp quy; 5) Đối tượng đăng ký; 6) Đơn vị đăng ký và địa chỉ; 7) Đơn vị ủy quyền và địa chỉ; 8) Đơn vị sản xuất; 9) Xuất xứ; 10) Canh mép; 11) Đơn vị phân phối; 12) Màu độc, biểu tượng độc; 13) Quy cách; 14) NSX, ngày đóng gói, HSD; 15) Liều lượng, cách dùng; 16) Thời gian cách ly; 17) Tên chai, kích thước; 18) Mã QR; 19) Câu nhận biết; 20) Sở hữu trí tuệ."
"Từ tháng 6/2025 trở đi, quy định về ""xuất xứ"" trên nhãn có gì thay đổi?","Từ tháng 6/2025 trở đi, tất cả các nhãn sẽ bỏ thông tin về ""xuất xứ"" và không thể hiện các từ gây hiểu lầm về xuất xứ như ""sản phẩm của..."", ""nhập khẩu...""."
Màu độc và biểu tượng độc GHS được quy định như thế nào theo số mức độ?,"Có 3 mức độ độc: mức 3 GHS màu vàng, mức 4 GHS màu vàng và mức 5 GHS màu xanh dương. Màu và biểu tượng phải thể hiện đúng theo mức độ độc trên giấy đăng ký và hợp quy."
Khi kiểm tra số hợp quy cần lưu ý điều gì?,"Khi kiểm tra số hợp quy phải lưu ý thời hạn hiệu lực của giấy hợp quy, vì mỗi lần đăng ký mới sẽ có số hợp quy mới tương ứng."
Cách xác định đơn vị sản xuất (ĐVSX) dựa trên giấy hợp quy như thế nào?,"Nếu trên giấy ghi ""Báo cáo đánh giá hợp quy của Công ty cổ phần BMC Việt Nam"" thì đơn vị sản xuất sẽ là BMC Việt Nam. Nếu ghi tên Công ty Agrishop hoặc Delta Thụy Sĩ thì ĐVSX sẽ là KCS."
Quy định về canh mép đối với nhãn giấy là gì?,"Đối với nhãn giấy, toàn bộ nội dung phải canh mép phải, mép cách 10mm theo quy định chung khi dàn nhãn."
Thời hạn sử dụng chuẩn đối với sản phẩm thuốc BVTV và thuốc côn trùng là bao lâu?,"Đối với thuốc BVTV, thời hạn sử dụng chuẩn là 2 năm. Đối với thuốc côn trùng có thể là 2 năm hoặc 3 năm tùy theo thông tin ghi trên giấy đăng ký."
Kiểm tra sở hữu trí tuệ nhãn hiệu gồm mấy bước chính và đó là những bước nào?,"Kiểm tra sở hữu trí tuệ gồm 3 bước: 1) Truy cập trang web https://wipopublish.ipvietnam.gov.vn để tra tên hiệu theo từng từ, chọn nhóm sản phẩm 5 và 9; 2) Kiểm tra trên Google để xem có trùng thiết kế với công ty khác không; 3) Kiểm tra tên hiệu trong file Danh mục thuốc bảo vệ thực vật."
Vì sao nên thực hiện cả 3 cách kiểm tra sở hữu trí tuệ cho tên hiệu nhãn?,"Nên kiểm tra cả trên WIPO/IP Việt Nam, Google và Danh mục thuốc BVTV để hạn chế tối đa rủi ro vi phạm sở hữu trí tuệ về tên hiệu hoặc thiết kế nhãn."
Nếu phát hiện tên hiệu vi phạm sở hữu trí tuệ thì xử lý như thế nào?,"Nếu tên hiệu vi phạm sở hữu trí tuệ, cần liên hệ khách hàng để đổi sang tên hiệu mới, sau đó tiếp tục kiểm tra lại tên hiệu mới bằng 3 cách trước khi sửa nhãn."
Quy tắc chung để ghi tên nhãn được quy định như thế nào?,"Quy tắc ghi tên nhãn là: NHÃN/GÓI – TÊN THƯƠNG MẠI – QUY CÁCH – (ĐẶC ĐIỂM LIỆU nếu có) – TÊN HIỆU – (C2 nếu có) – ĐƠN VỊ PHÂN PHỐI – ĐƠN VỊ QUẢN LÝ – (MÃ CHAI, KÍCH THƯỚC)."
"Đối với nhãn riêng công ty Phúc Thịnh (C2), trên nhãn cần thể hiện thêm nội dung gì?","Đối với nhãn riêng của công ty Phúc Thịnh (C2), trên nhãn sẽ bổ sung câu ""Ủy thác bởi PT"" để thể hiện đơn vị được ủy thác."
"Phân biệt ""Đơn vị phân phối"" và ""Đơn vị quản lý"" trên nhãn như thế nào?","Đơn vị quản lý là đơn vị thanh toán và làm việc trực tiếp với công ty. Trên nhãn có thể không ghi đơn vị phân phối, nhưng bắt buộc phải có tên đơn vị quản lý. Một đơn vị quản lý có thể có nhiều đơn vị phân phối."
"Mục tiêu của bước ""Tạo mã"" trong quy trình làm nhãn riêng là gì?","Bước tạo mã nhằm kiểm tra tình trạng in tái bản có chỉnh sửa hoặc thiết kế mới trên phần mềm MISA, xác định thiết kế nào chưa có mã và tạo mã vật tư mới để phục vụ lên đơn hàng và quản lý kho."
Quy tắc đặt mã MISA cho nhãn chai được quy định như thế nào?,"Mã nhãn chai có dạng NHAC????-STT, trong đó ???? là thể tích thực trên nhãn (ví dụ nhãn 900ml có mã NHAC900-XXX; quy cách 1 lít dùng NHAC01L-XXX; quy cách 4,5 lít dùng NHAC4.5L-XXX) và STT là số thứ tự liên tiếp của mã trước đó."
Quy tắc đặt mã MISA cho gói được quy định như thế nào?,"Mã gói có dạng GOI????-STT, trong đó ???? là khối lượng tịnh tính theo gram và luôn đủ 4 chữ số (ví dụ gói 50g sẽ có mã GOI0050-XXX); STT là số thứ tự liên tiếp của mã trước đó."
Các bước thao tác trên MISA để tạo mã vật tư nhãn mới là gì?,"Các bước tạo mã trên MISA: Bước 1: Vào MISA > Danh mục > Vật tư hàng hóa; Bước 2: Kiểm tra và đặt tên mã, chọn ""Thêm""; Bước 3: Nhập thông tin gồm Mã hàng (theo quy tắc), Tên hàng (theo quy tắc ghi tên nhãn), Nhóm vật tư hàng hóa (đơn vị quản lý), Đơn vị tính (nhãn, gói, cái...), Thuế (theo luật hiện hành), Kho ngầm định (Kho VTSX); Bước 4: Kiểm tra lại thông tin và chọn ""Cất""."
Nguyên tắc chọn nhà cung cấp in đối với nhãn giấy là gì?,Đối với nhãn giấy: số lượng in từ 1.000 nhãn trở lên đặt tại nhà in MỘC ẤN; số lượng từ 2.000 nhãn trở lên có thể in tại MỘC ẤN hoặc MEKONG tùy phân bổ.
Nguyên tắc chọn nhà cung cấp in đối với nhãn decal tờ và decal cuộn như thế nào?,"Đối với nhãn decal: decal tờ, số lượng từ 1.000 đến dưới 3.000 nhãn in tại MỘC ẤN; decal cuộn, số lượng từ 3.000 nhãn trở lên in tại THỊNH CHINH, ĐỨC ÂN hoặc AP."
"Đối với bao gói, những nhà cung cấp in nào được sử dụng?","Đối với gói, công ty sử dụng nhà in MỘC ẤN và TÂN ĐỨC để in bao bì."
Các bước cơ bản để tạo đơn hàng trên MISA cho nhãn riêng là gì?,"Để tạo đơn hàng trên MISA: Truy cập MISA > vào mục ""Đơn mua hàng"" > chọn ""Thêm"", sau đó nhập tên nhà cung cấp, số lượng đặt in theo lệnh in và đơn giá, kiểm tra lại và chọn ""Cất""."
"Khi khách hàng yêu cầu đặt túi lớn hơn kích thước chuẩn, cần ghi chú gì trên đơn hàng?","Trường hợp khách đặt túi lớn hơn kích thước chuẩn, phải ghi rõ trên diễn giải mã hàng nào được in kích thước lớn hơn và số tiền chênh lệch. Ví dụ: ghi chú mã GOI0025-123 khách bù tiền chênh lệch in kích thước lớn hơn, kèm công thức tính số tiền chênh lệch."
Một đơn hàng in nhãn tối đa nên chứa bao nhiêu mã vật tư và vì sao?,Một đơn hàng in nhãn tối đa khoảng 10 mã vật tư để việc duyệt nhãn trong cùng một đơn không bị quá tải và dễ kiểm soát.
"Vì sao một số khách VIP như BMCVP, BELL được tạo đơn riêng?","Một số khách VIP như BMCVP, BELL sẽ được tạo đơn hàng riêng để việc theo dõi, xử lý và chăm sóc trở nên dễ dàng và chuyên biệt hơn."
Cách ghi tồn kho nhãn khi lên đơn hàng in tái bản được tính như thế nào?,Tồn kho nhãn đối với in tái bản và tái bản có chỉnh sửa được tính theo công thức: TỒN KHO = Tồn do kho vật tư kiểm tra + Hàng nợ của nhãn.
Đơn hàng nhãn riêng sau khi lên đơn sẽ được chuyển cho kinh doanh vào thời điểm nào?,"Sau khi hoàn tất các bước lên đơn hàng, đơn hàng nhãn riêng sẽ được chuyển cho bộ phận kinh doanh trước 14h thứ 3 và thứ 6 hàng tuần."
Trách nhiệm của bộ phận kinh doanh trong bước kiểm tra đơn hàng nhãn riêng là gì?,Bộ phận kinh doanh kiểm tra xem nhãn đã đúng theo thiết kế khách chốt hay chưa; sau đó CSKH ký nháy và ghi kế hoạch đóng hàng cho từng nhãn.
Trách nhiệm của kế toán trong bước kiểm tra đơn hàng nhãn riêng là gì?,"Sau khi kinh doanh kiểm tra xong, kế toán kiểm tra tình trạng cọc của khách hàng. Nếu thiếu cọc, kế toán cần phối hợp với kinh doanh để xác nhận xử lý."
Quy trình trình ký đơn hàng nhãn riêng được thực hiện như thế nào?,"Tất cả các đơn hàng nhãn riêng được tập hợp để chị Phương kiểm tra, sau đó tổng hợp lại và trình ký cho Sếp theo lịch: lệnh in thứ 4 trình ký thứ 7, lệnh in thứ 7 trình ký thứ 4."
"Sau khi trình ký, những bước chính để gửi đơn hàng cho nhà in là gì?","Sau khi trình ký, bộ phận vật tư gửi mail đơn hàng cho nhà cung cấp, đồng thời đưa đơn hàng cho thiết kế để gửi file thiết kế tương ứng cho nhà in."
Quy trình duyệt in nhãn sau khi gửi đơn hàng cho nhà cung cấp gồm những bước nào?,"Sau khi gửi đơn cho nhà cung cấp, tiến hành duyệt nhãn qua 2 vòng: duyệt lần 1 qua Zalo, duyệt lần 2 qua email, so sánh nhãn file mềm với nhãn market. Kết quả duyệt được phân công người phụ trách và cập nhật vào file theo dõi để kiểm soát."
Cách theo dõi lịch nhãn về được thực hiện dựa trên thông tin nào?,"Tiến độ nhãn về được theo dõi dựa trên thông báo lịch giao đơn hàng của nhà cung cấp trong group ""Lịch nhãn về"", từ đó sắp xếp theo dõi và phối hợp kho nhận hàng."
"Khi nhãn về kho, kho vật tư cần kiểm tra những gì?","Khi nhãn về, kho vật tư kiểm tra số lượng và chất lượng nhãn/gói thực tế, bao gồm nội dung, hình ảnh, màu sắc so với nhãn đã duyệt."
Nếu nhãn nhà cung cấp giao đúng yêu cầu thì xử lý thế nào?,"Nếu nhãn nhà cung cấp giao đúng về số lượng và chất lượng, kho tiến hành nhập kho và kết thúc đơn hàng."
Nếu nhãn nhà cung cấp giao sai thì quy trình xử lý ra sao?,"Nếu nhãn giao sai (về số lượng hoặc nội dung, màu sắc...), kho báo cho bộ phận vật tư để làm việc lại với nhà cung cấp và yêu cầu chỉnh sửa, in lại hoặc xử lý theo thỏa thuận."
