id,question,answer,category,tags,alt_questions
21,cha240-04,"- (IMG_KEY: chai-pet-tron-trang-240-04) - Chai 240-04 (Chai tròn trắng 240ml pet, phi 44, nắp đỏ) - Đóng được tất cả các dạng EC; SC; SL - THU240-04 - 40 chai / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL",chai,240ml|EC|PET|SC|SL,cha240-04 là gì? | thông tin chi tiết về cha240-04
22,cha480-01,"- (IMG_KEY: chai-pet-tron-trang-480-01) - Chai 480-01 (Chai tròn trắng 480ml pet, phi 44, nắp đỏ) - Đóng được tất cả các dạng EC; SC; SL - THU480-01 - 30 chai / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL",chai,480ml|EC|PET|SC|SL,cha480-01 là gì? | thông tin chi tiết về cha480-01
23,cha480-09,"- (IMG_KEY: chai-pet-tron-trang-480-09) - Chai 480-09 (Chai tròn trắng 480ml pet, phi 38, nắp trắng). Đang đóng Kajio SR-Agrishop - Đóng được tất cả các dạng EC; SC; SL - THU480-09 - 30 chai / thùng - Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại",chai,480ml|EC|PET|SC|SL|dung_môi_mạnh,cha480-09 là gì? | thông tin chi tiết về cha480-09
24,cha480-10,"- (IMG_KEY: chai-pet-tron-trang-480-10) - Chai 480-10 (Chai tròn trắng 480ml pet, phi 44, nắp xanh) - Đóng được tất cả các dạng EC; SC; SL - THU480-01 - 30 chai / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL",chai,480ml|EC|PET|SC|SL,cha480-10 là gì? | thông tin chi tiết về cha480-10
25,cha1000-03,"- (IMG_KEY: chai-pet-tron-trang-1000-03) - Chai 1000-03 (Chai tròn trắng 1 lit pet, phi 44, nắp đỏ) - Đóng được tất cả các dạng EC; SC; SL - THU1000-03 - 20 chai / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL",chai,1lit|EC|PET|SC|SL,cha1000-03 là gì? | thông tin chi tiết về cha1000-03
26,cha480-12,"- (IMG_KEY: chai-pet-tron-trang-480-12) - Chai 480-12 (Chai tròn trắng 480ml pet, phi 44, nắp xanh) - Đóng được tất cả các dạng EC; SC; SL - THU480-03 - 30 chai / thùng - Đang đóng BISOMIN - KASU Ấn trọng lượng 70g, không đóng được Gardona 250SL",chai,480ml|70g|EC|PET|SC|SL,cha480-12 là gì? | thông tin chi tiết về cha480-12
27,mẫu pet tròn trắng 480 nắp trắng (480-09) bản chất giống mẫu 480-04 pet tròn vàng (chỉ khác nhau màu chai),- (IMG_KEY: vd-chai-480-09) - (IMG_KEY: vd-chai-480-04),chai,PET,mẫu pet tròn trắng 480 nắp trắng (480-09) bản chất giống mẫu 480-04 pet tròn vàng (chỉ khác nhau màu chai) là gì?
28,bộ pet vuông,1. Chai pet vuông 100-13 (IMG_KEY: chai-pet-vuong-100-13) 2. Chai pet vuông 100-18 3. Chai pet vuông 240-05 (IMG_KEY: chai-pet-vuong-240-05) 4. Chai pet vuông 450-02 (IMG_KEY: chai-pet-vuong-450-02) 5. Chai pet vuông 450-04 (IMG_KEY: chai-pet-vuong-450-04) 6. Chai pet vuông 450-05 (IMG_KEY: chai-pet-vuong-450-05) 7. Chai pet vuông 450-06 (IMG_KEY: chai-pet-vuong-450-06) 8. Chai pet vuông 450-08 (IMG_KEY: chai-pet-vuong-450-08) 9. Chai pet vuông 450-09 (IMG_KEY: chai-pet-vuong-450-09) 10. Chai pet vuông 1000-02 (IMG_KEY: chai-pet-vuong-1000-02),chai,PET,bộ pet vuông là gì?
29,cha100-13,"- (IMG_KEY: chai-pet-vuong-100-13)  - Chai 100-13 (Chai vuông trắng 100ml pet, phi 28, nắp vàng) - Đóng được tất cả các dạng EC; SC; SL - THU100-05 - 100 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,100ml|EC|PET|SC|SL|dung_môi_mạnh,cha100-13 là gì? | thông tin chi tiết về cha100-13
30,cha240-05,"- (IMG_KEY: chai-pet-vuong-240-05) - Chai 240-05 (Chai vuông trắng 240ml pet, phi 28, nắp xanh lá) - Đóng được tất cả các dạng EC; SC; SL - THU240-08 - 55 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,240ml|EC|PET|SC|SL|dung_môi_mạnh,cha240-05 là gì? | thông tin chi tiết về cha240-05
31,cha450-02,"- (IMG_KEY: chai-pet-vuong-450-02) - Chai 450-02 (Chai vuông trắng 450ml pet, phi 35, nắp vàng) - Đóng được tất cả các dạng EC; SC; SL - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-02 là gì? | thông tin chi tiết về cha450-02
32,cha450-04,"- (IMG_KEY: chai-pet-vuong-450-04) - Chai 450-04 (Chai vuông vàng 450ml pet, phi 3 5. nắp đỏ) - Đóng được tất cả các dạng EC; SC; SL. Hiện Ankamec 3,6 EC đang đóng chai này - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-04 là gì? | thông tin chi tiết về cha450-04
33,cha450-05,"- (IMG_KEY: chai-pet-vuong-450-05) - Chai 450-05 (Chai vuông tím 450ml pet, phi 35, nắp trắng) - Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Daphamec  5.0 và Kajio siêu rẻ - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-05 là gì? | thông tin chi tiết về cha450-05
34,cha450-06,"- (IMG_KEY: chai-pet-vuong-450-06) - Chai 450-06 (Chai vuông xanh 450ml pet, phi 35, nắp trắng) - Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Abinsec 1.8 NĐ - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-06 là gì? | thông tin chi tiết về cha450-06
35,cha450-08,"- (IMG_KEY: chai-pet-vuong-450-08) - Chai 450-08 (Chai vuông trắng 450ml pet, phi 35, nắp xanh lá) - Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Abinsec 1.8 NĐ - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-08 là gì? | thông tin chi tiết về cha450-08
36,cha450-09,"- (IMG_KEY: chai-pet-vuong-450-09) - Chai 450-09 (Chai vuông cam 450ml pet, phi 35, nắp màu cam) - Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Kajio SR EC Delta - THU450-01 - 40 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super - (IMG_KEY: g8-thanh-sau)",chai,450ml|EC|PET|SC|SL|dung_môi_mạnh,cha450-09 là gì? | thông tin chi tiết về cha450-09
37,cha1000-02logo,"- (IMG_KEY: chai-pet-vuong-1000-02) - Chai 1000-02 (Chai vuông 1 lit, logo BMC pet, phi 44, nắp logo vàng) - Đóng được tất cả các dạng EC; SC; SL. Trên than chai, nắp chai đều có logo BMC - THU1000-02 - 25 chai / thùng - Có thể đóng được các loại EC dung môi mạnh trừ Gone Super. Trường hợp khách không thích có logo có thể chọn mã chai 1000-02 ở phía dưới - (IMG_KEY: nap-logo-chai-pet-vuong) - (IMG_KEY: seal-logo-chai-pet-vuong)",chai,1lit|EC|PET|SC|SL|dung_môi_mạnh,cha1000-02logo là gì? | thông tin chi tiết về cha1000-02logo
38,bộ pet đóng cỏ,1. Chai pet 100480-01 (IMG_KEY: chai-pet-dong-co-100480-01) 2. Chai pet 1000-04 (IMG_KEY: chai-pet-dong-co-1000-04) 3. Chai pet 1000-15 (IMG_KEY: chai-pet-dong-co-1000-15) 4. Chai pet 1000-20 (IMG_KEY: chai-pet-dong-co-1000-20),chai,PET,bộ pet đóng cỏ là gì?
39,cha100480-01,"- (IMG_KEY: chai-pet-dong-co-100480-01) - Chai 100480-01 (Chai tròn xanh 480ml pet, phi 35, nắp chụp đỏ) - Đóng cỏ dạng SL - THU100480-01 - 40 chai / thùng - Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo",chai,480ml|EC|PET|SC|SL,cha100480-01 là gì? | thông tin chi tiết về cha100480-01
40,cha1000-04,"- (IMG_KEY: chai-pet-dong-co-1000-04) - Chai 1000-04 (Chai tròn xanh 1 lit pet, phi 35, nắp chụp đỏ) - Đóng cỏ dạng SL - THU1000-09 - 20 chai / thùng - Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo",chai,1lit|EC|PET|SC|SL,cha1000-04 là gì? | thông tin chi tiết về cha1000-04
41,cha1000-15,"- (IMG_KEY: chai-pet-dong-co-1000-15) - Chai 1000-15 (Chai tròn nâu 1 lit pet, phi 43, nắp trắng, cốc đong trắng) - Chỉ nên đóng cỏ SL - THU1000-09 - 20 chai / thùng - Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo",chai,1lit|EC|PET|SC|SL,cha1000-15 là gì? | thông tin chi tiết về cha1000-15
42,cha1000-20,"- (IMG_KEY: chai-pet-dong-co-1000-20) - Chai 1000-20 (Chai tròn trắng trong 1 lit pet, phi 35, nắp chụp đỏ 175ml) - Chỉ nên đóng cỏ SL - THU1000-09 - 20 chai / thùng - Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo",chai,175ml|1lit|EC|PET|SC|SL,cha1000-20 là gì? | thông tin chi tiết về cha1000-20
43,seal logo chai pet đóng cỏ,(IMG_KEY: seal-logo-chai-pet-dong-co),chai,PET,seal logo chai pet đóng cỏ là gì?
44,nắp logo chai pet đóng cỏ,(IMG_KEY: nap-logo-chai-pet-dong-co),chai,PET,nắp logo chai pet đóng cỏ là gì?
45,bộ hd xám (chai hd không đóng được liệu ec),1. Chai HD 240-08 (IMG_KEY: chai-hd-240-08) 2. Chai HD 480-03 (IMG_KEY: chai-hd-480-03) 3. Chai HD 1000-06 (IMG_KEY: chai-hd-1000-06) 4. Chai ZEROANVIL (IMG_KEY: chai-hd-zeroanvil),chai,,bộ hd xám (chai hd không đóng được liệu ec) là gì?
46,cha240-08,"- (IMG_KEY: chai-hd-240-08) - Chai 240-08 (Chai tròn xám 240ml HDPE, phi 44, nắp xanh lá) - Đóng được các dạng SC, SL - THU240-08 - 40 chai / thùng - Không đóng được dạng EC",chai,240ml|EC|HDPE|SC|SL,cha240-08 là gì? | thông tin chi tiết về cha240-08
47,cha480-03,"- (IMG_KEY: chai-hd-480-03) - Chai 480-03 (Chai tròn xám 480ml HDPE, phi 44, nắp xanh lá) - Đóng được các dạng SC, SL - THU480-08 - 30 chai / thùng - Không đóng được dạng EC",chai,480ml|EC|HDPE|SC|SL,cha480-03 là gì? | thông tin chi tiết về cha480-03
48,cha1000-06,"- (IMG_KEY: chai-hd-1000-06) - Chai 1000-06 (Chai tròn xám 1 lit HDPE, phi 44, nắp xanh lá) - Đóng được các dạng SC, SL - THU1000-03 - 20 chai / thùng - Có thể đóng SC các loại, không đóng EC",chai,1lit|EC|HDPE|SC|SL,cha1000-06 là gì? | thông tin chi tiết về cha1000-06
49,nắp logo chai hd,(IMG_KEY: nap-logo-chai-hd-1000-06),chai,,nắp logo chai hd là gì?
50,seal logo chai hd,(IMG_KEY: seal-logo-chai-hd-1000-06),chai,,seal logo chai hd là gì?
51,cha1000-zeroanvil,"NHÃN CHAI HARUKO 5SC (ZEROANVIL) - 1 LÍT - AGRISHOP (CHAI TRÒN TRẮNG SỮA 1000-ZEROANVIL: 278 x 124MM) - (IMG_KEY: chai-hd-1000-zeroanvil) - Chai 1000-ZEROANVIL (Chai tròn trắng 1 lit HD, phi 45, nắp xanh lá) - Đóng được tất cả các sản phẩm dạng SC; SL - THU1000-ZEROANVIL (thùng riêng) - 12 chai / thùng - Có thể đóng SC các loại, không đóng EC. 0 5.09.2024 PTN kiểm tra đóng được HARUKO, MEKONGVIL",chai,1lit|1lít|EC|SC|SL|kiểm_tra,cha1000-zeroanvil là gì? | thông tin chi tiết về cha1000-zeroanvil
52,thu1000-zeroanvil,"(IMG_KEY: nhan-THU1000-ZEROANVIL)""",khac,,thu1000-zeroanvil là gì? | thông tin chi tiết về thu1000-zeroanvil
53,một số mã chai lẻ khác,"1. Chai pet tròn tím, nắp tím (IMG_KEY: chai-240-09) 2. Chai pet tròn đen (IMG_KEY: chai-480-08) 3. Chai vuông đục HDPE (IMG_KEY: chai-1000-07) 4. Chai BASTAR 1 LÍT HDPE (IMG_KEY: chai-1000-18) 5. Can xanh nhạt, nắp xanh (IMG_KEY: can-05L-01) 6. Can xanh đậm, nắp đỏ 5L (IMG_KEY: can-5000-0002) 7. Chai CHA240 vàng nhạt HDPE nắp vàng (IMG_KEY: chai-240-basaga)",chai,05l|1lít|5l|HDPE|PET,một số mã chai lẻ khác là gì?
54,cha480-08 (chai pet tròn đen),"- (IMG_KEY: chai-480-08) - Chai 480-08 (Chai tròn đen 480ml pet, phi 30.5, nắp xanh lá) - Hiện tại chỉ đóng Forsan 40EC - Delta - THU480-01 - 30 chai / thùng - Hiện tại chỉ đóng Forsan 40EC - Delta",chai,480ml|PET,cha480-08 (chai pet tròn đen) là gì?
55,cha1000-07 (chai vuông đục hdpe),"- (IMG_KEY: chai-1000-07) - Chai 1000-07 (chai vuông trắng đục 1 lit HDPE, phi 39, nắp đỏ, logo) - Đóng cỏ SL, hiện đang đóng Kenbast 900ml, Diquat 900ml - THU1000-05 - 25 chai / thùng - Chai chỉ đóng được dung tích 900ml, không đóng được 1000ml, không đóng EC",chai,1000ml|1lit|900ml|EC|HDPE|SL,cha1000-07 (chai vuông đục hdpe) là gì?
56,cha1000-18 (chai bastar 1lit hdpe),"- (IMG_KEY: chai-1000-18) - Chai 1000-18 (Chai Bastar 1 lit HDPE, phi 49, nắp trắng logo chuyển ngày 11.0 3.2025 - Đóng cỏ SL - THU1000-03 - 20 chai / thùng - Không đóng được dạng EC. Trọng lượng tối thiểu 115gr (0 7.10.2024). KH triển khai nắp (seal) logo",chai,1lit|EC|HDPE|SL,cha1000-18 (chai bastar 1lit hdpe) là gì?
57,"cha05l-01 (can xanh nhạt, nắp xanh)","- (IMG_KEY: can-05L-01) - Chai 05L-01 (Can xanh nhạt 5 lit HDPE, phi 44, nắp xanh, logo) - Đóng được các dạng SC, SL, không đóng được EC - THU5L-01 - 4 chai / thùng - Có thể đóng SC các loại, không đóng EC",chai,05l|5lit|EC|HDPE|SC|SL,"cha05l-01 (can xanh nhạt, nắp xanh) là gì?"
58,"chag-5000-0002 (can xanh đậm, nắp đỏ 5l)","- (IMG_KEY: can-5000-0002) - Can xanh đậm, 5 lit HDPE, nắp đỏ - Đóng được các dạng SC, SL - THU5L-01 - 4 chai / thùng - Không đóng EC",chai,5l|5lit|EC|HDPE|SC|SL,"chag-5000-0002 (can xanh đậm, nắp đỏ 5l) là gì?"
59,cha240-basaga (cha240 vàng nhạt hdpe nắp vàng),"- (IMG_KEY: chai-240-basaga) - Chai 240-BASAGA (Chai tròn vàng 240ml HDPE, 40gr, phi 49, nắp vàng) - Đóng được các dạng SC, SL, không đóng được EC - THU240-08 - 40 chai / thùng - Có thể đóng SC các loại, không đóng EC, Gardona 250SL. 0 5.09.2024 PTN kiểm tra đóng được Bentazone 480SL",chai,240ml|EC|HDPE|SC|SL|kiểm_tra,cha240-basaga (cha240 vàng nhạt hdpe nắp vàng) là gì?
60,cha240-09,"- (IMG_KEY: chai-240-09) - Chai pet tròn tím, nắp tím đóng - Đóng được các dạng SC, SL - Đóng 240-02 - 40 chai / thùng - Đang đóng FORZATE chưa test liệu (46g). Không đóng được Gardona 250SL",chai,46g|PET|SC|SL,cha240-09 là gì? | thông tin chi tiết về cha240-09
61,nắp logo chai lẻ khác,- (IMG_KEY: nap-xanh-logo-bmc) - (IMG_KEY: nap-do-logo-bmc),chai,,nắp logo chai lẻ khác là gì?
62,seal logo chai lẻ khác,(IMG_KEY: seal-logo-bmc),chai,,seal logo chai lẻ khác là gì?
63,lưu ý: chai 1000-07 hd vuông 1 lít: nắp logo bmc và đáy chai có logo bmc,- (IMG_KEY: chai-hd-1000-07-nap-logo-bmc) - (IMG_KEY: nap-logo-1000-07) - (IMG_KEY: day-chai-logo-1000-07) - (IMG_KEY: seal-logo-1000-07),chai,1lít,lưu ý: chai 1000-07 hd vuông 1 lít: nắp logo bmc và đáy chai có logo bmc là gì?
64,chai 1000-18 – nắp logo + seal logo 10.0 3.2025,- (IMG_KEY: chai-hd-1000-18) - (IMG_KEY: nap-logo-1000-18) - (IMG_KEY: seal-logo-1000-18),chai,,chai 1000-18 – nắp logo + seal logo 10.0 3.2025 là gì?
65,bộ chai đặt riêng cho khách > chuyển bộ dùng chung,1. BỘ BASP (Mẫu dùng chung 240-480) 2. BỘ BAYE (Mẫu dùng chung 240-480) 3. CHAI NHÔM BẠC (Chai nhôm tròn bạc 500ml 480-06)(IMG_KEY: bo-chai-dat-rieng-cho-khach),chai,500ml|NHÔM,bộ chai đặt riêng cho khách > chuyển bộ dùng chung là gì?
66,cha240-basp (bộ chai basp),"- (IMG_KEY: chai-240-basp) - Chai BASP trắng đục 240ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU240-08 - 40 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023)",chai,240ml|EC|HDPE|SC|SL,cha240-basp (bộ chai basp) là gì?
67,cha480-basp (bộ chai basp),"- (IMG_KEY: chai-480-basp) - Chai BASP trắng đục 480ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU480-04 - 30 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023)",chai,480ml|EC|HDPE|SC|SL,cha480-basp (bộ chai basp) là gì?
68,cha240-baye (bộ chai baye),"- (IMG_KEY: chai-240-baye) - Chai BAYE trắng đục 240ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU240-02 - 40 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023). Đóng được Bentazone 480SL KQ test 0 7.11.2024",chai,240ml|EC|HDPE|SC|SL,cha240-baye (bộ chai baye) là gì?
