question,answer
cha240-asmil,"NHÃN CHAI AFENZOLE 325SC (ASMILKA TOP) - 240ML - DELTA THỤY SĨ (CHAI 3 LỚP TRẮNG 240-ASMIL (NẮP TÍM))\n- Chai 240-ASMIL (chai tròn trắng 240ml 3 lớp, phi 45, nắp màu tím)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU240-ASMIL (thùng riêng)\n- 40 CHAI/ THÙNG \n- Đóng được Gone super, Bretil Super ( KQ ktra PTN \n5.09.24 ) và các loại EC dung môi mạnh\n(IMG_KEY: CHA240-ASMIL)\n(IMG_KEY: nhan-THU240-ASMIL)"
chai 240-teen và 240-asmil,GIỐNG NHAU VỀ LOẠI CHAI 3 LỚP – MÀU SẮC CHAI- CHỈ KHÁC MÀU NẮP\n- (IMG_KEY: chai-CHA240-TEEN) \n- (IMG_KEY: chai-CHA240-ASMIL)
bộ pet vàng,1. Chai pet 100-14 (IMG_KEY: chai-pet-vang-100-14)\n2. Chai 3 lớp 240-06 (IMG_KEY: chai-pet-vang-3-lop-240-06)\n3. Chai 240-HELP (IMG_KEY: chai-pet-vang-240-HELP)\n4. Chai 480-04 (IMG_KEY: chai-pet-vang-480-04)\n5. Chai Pet 1000-09 (IMG_KEY: chai-pet-vang-1000-09)
cha100-14,"- (IMG_KEY: chai-pet-vang-100-14)\n- Chai 100-14 (Chai tròn vàng 100ml pet, phi 38, nắp trắng)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU100-14\n- 100 chai  / thùng\n- Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại"
cha240-06,"- (IMG_KEY: chai-pet-vang-3-lop-240-06)\n- Chai 240-06 (Chai tròn vàng 240ml 3 lớp, phi 35, nắp trắng, cốc đong 20ml)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU240-06\n- 40 chai  / thùng\n- Đóng được Gone Super và các loại EC dung môi mạnh"
cha480-04,"- (IMG_KEY: chai-pet-vang-480-04)\n- Chai 480-04 (Chai tròn vàng 480ml pet, phi 38, nắp trắng)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU480-04\n- 30 chai  / thùng\n- Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại"
cha1000-09,"- (IMG_KEY: chai-pet-vang-1000-09)\n- Chai 1000-09 (Chai tròn vàng 1 lit pet, phi 50, nắp trắng)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU1000-03\n- 20 chai  / thùng\n- Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại"
cha240-help,"- (IMG_KEY: chai-pet-vang-240-HELP)\n- Chai 240-HELP (Chai pet tròn vàng 240ml pet (46gr), phi 43, nắp màu xanh ngọc bích, cốc đong)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU240-06\n- 40 chai  / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL\n- Chai chưa test SP > Cần test lại khi đóng hàng"
bộ pet tròn trắng,1. Chai CHA100-03 (IMG_KEY: chai-pet-tron-trang-100-03)\n2. Chai CHA240-04 (IMG_KEY: chai-pet-tron-trang-240-04)\n3. Chai CHA480-01 (IMG_KEY: chai-pet-tron-trang-480-01)\n4. Chai CHA480-09 (IMG_KEY: chai-pet-tron-trang-480-09)\n5. Chai CHA480-10 (IMG_KEY: chai-pet-tron-trang-480-10)\n6. Chai CHA480-12 (IMG_KEY: chai-pet-tron-trang-480-12)\n7. Chai CHA1000-03 (IMG_KEY: chai-pet-tron-trang-1000-03)
cha100-03,"- (IMG_KEY: chai-pet-tron-trang-100-03)\n- Chai 100-03 (Chai tròn trắng 100ml pet, phi 44, nắp đỏ)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU100-03\n- 100 chai / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL"
cha240-04,"- (IMG_KEY: chai-pet-tron-trang-240-04)\n- Chai 240-04 (Chai tròn trắng 240ml pet, phi 44, nắp đỏ)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU240-04\n- 40 chai / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL"
cha480-01,"- (IMG_KEY: chai-pet-tron-trang-480-01)\n- Chai 480-01 (Chai tròn trắng 480ml pet, phi 44, nắp đỏ)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU480-01\n- 30 chai / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL"
cha480-09,"- (IMG_KEY: chai-pet-tron-trang-480-09)\n- Chai 480-09 (Chai tròn trắng 480ml pet, phi 38, nắp trắng). Đang đóng Kajio SR-Agrishop\n- Đóng được tất cả các dạng EC; SC; SL\n- THU480-09\n- 30 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại"
cha480-10,"- (IMG_KEY: chai-pet-tron-trang-480-10)\n- Chai 480-10 (Chai tròn trắng 480ml pet, phi 44, nắp xanh)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU480-01\n- 30 chai / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL"
cha1000-03,"- (IMG_KEY: chai-pet-tron-trang-1000-03)\n- Chai 1000-03 (Chai tròn trắng 1 lit pet, phi 44, nắp đỏ)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU1000-03\n- 20 chai / thùng\n- Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL"
cha480-12,"- (IMG_KEY: chai-pet-tron-trang-480-12)\n- Chai 480-12 (Chai tròn trắng 480ml pet, phi 44, nắp xanh)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU480-03\n- 30 chai / thùng\n- Đang đóng BISOMIN - KASU Ấn trọng lượng 70g, không đóng được Gardona 250SL"
mẫu pet tròn trắng 480 nắp trắng (480-09) bản chất giống mẫu 480-04 pet tròn vàng (chỉ khác nhau màu chai),- (IMG_KEY: vd-chai-480-09)\n- (IMG_KEY: vd-chai-480-04)
bộ pet vuông,1. Chai pet vuông 100-13 (IMG_KEY: chai-pet-vuong-100-13)\n2. Chai pet vuông 100-18\n3. Chai pet vuông 240-05 (IMG_KEY: chai-pet-vuong-240-05)\n4. Chai pet vuông 450-02 (IMG_KEY: chai-pet-vuong-450-02)\n5. Chai pet vuông 450-04 (IMG_KEY: chai-pet-vuong-450-04)\n6. Chai pet vuông 450-05 (IMG_KEY: chai-pet-vuong-450-05)\n7. Chai pet vuông 450-06 (IMG_KEY: chai-pet-vuong-450-06)\n8. Chai pet vuông 450-08 (IMG_KEY: chai-pet-vuong-450-08)\n9. Chai pet vuông 450-09 (IMG_KEY: chai-pet-vuong-450-09)\n10. Chai pet vuông 1000-02 (IMG_KEY: chai-pet-vuong-1000-02)
cha100-13,"- (IMG_KEY: chai-pet-vuong-100-13) \n- Chai 100-13 (Chai vuông trắng 100ml pet, phi 28, nắp vàng)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU100-05\n- 100 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha240-05,"- (IMG_KEY: chai-pet-vuong-240-05)\n- Chai 240-05 (Chai vuông trắng 240ml pet, phi 28, nắp xanh lá)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU240-08\n- 55 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-02,"- (IMG_KEY: chai-pet-vuong-450-02)\n- Chai 450-02 (Chai vuông trắng 450ml pet, phi 35, nắp vàng)\n- Đóng được tất cả các dạng EC; SC; SL\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-04,"- (IMG_KEY: chai-pet-vuong-450-04)\n- Chai 450-04 (Chai vuông vàng 450ml pet, phi 3\n5. nắp đỏ)\n- Đóng được tất cả các dạng EC; SC; SL. Hiện Ankamec 3,6 EC đang đóng chai này\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-05,"- (IMG_KEY: chai-pet-vuong-450-05)\n- Chai 450-05 (Chai vuông tím 450ml pet, phi 35, nắp trắng)\n- Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Daphamec \n5.0 và Kajio siêu rẻ\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-06,"- (IMG_KEY: chai-pet-vuong-450-06)\n- Chai 450-06 (Chai vuông xanh 450ml pet, phi 35, nắp trắng)\n- Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Abinsec 1.8 NĐ\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-08,"- (IMG_KEY: chai-pet-vuong-450-08)\n- Chai 450-08 (Chai vuông trắng 450ml pet, phi 35, nắp xanh lá)\n- Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Abinsec 1.8 NĐ\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super"
cha450-09,"- (IMG_KEY: chai-pet-vuong-450-09)\n- Chai 450-09 (Chai vuông cam 450ml pet, phi 35, nắp màu cam)\n- Đóng được tất cả các dạng EC; SC; SL, hiện đang đóng Kajio SR EC Delta\n- THU450-01\n- 40 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super\n- (IMG_KEY: g8-thanh-sau)"
cha1000-02logo,"- (IMG_KEY: chai-pet-vuong-1000-02)\n- Chai 1000-02 (Chai vuông 1 lit, logo BMC pet, phi 44, nắp logo vàng)\n- Đóng được tất cả các dạng EC; SC; SL. Trên than chai, nắp chai đều có logo BMC\n- THU1000-02\n- 25 chai / thùng\n- Có thể đóng được các loại EC dung môi mạnh trừ Gone Super. Trường hợp khách không thích có logo có thể chọn mã chai 1000-02 ở phía dưới\n- (IMG_KEY: nap-logo-chai-pet-vuong)\n- (IMG_KEY: seal-logo-chai-pet-vuong)"
bộ pet đóng cỏ,1. Chai pet 100480-01 (IMG_KEY: chai-pet-dong-co-100480-01)\n2. Chai pet 1000-04 (IMG_KEY: chai-pet-dong-co-1000-04)\n3. Chai pet 1000-15 (IMG_KEY: chai-pet-dong-co-1000-15)\n4. Chai pet 1000-20 (IMG_KEY: chai-pet-dong-co-1000-20)
cha100480-01,"- (IMG_KEY: chai-pet-dong-co-100480-01)\n- Chai 100480-01 (Chai tròn xanh 480ml pet, phi 35, nắp chụp đỏ)\n- Đóng cỏ dạng SL\n- THU100480-01\n- 40 chai / thùng\n- Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo"
cha1000-04,"- (IMG_KEY: chai-pet-dong-co-1000-04)\n- Chai 1000-04 (Chai tròn xanh 1 lit pet, phi 35, nắp chụp đỏ)\n- Đóng cỏ dạng SL\n- THU1000-09\n- 20 chai / thùng\n- Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo"
cha1000-15,"- (IMG_KEY: chai-pet-dong-co-1000-15)\n- Chai 1000-15 (Chai tròn nâu 1 lit pet, phi 43, nắp trắng, cốc đong trắng)\n- Chỉ nên đóng cỏ SL\n- THU1000-09\n- 20 chai / thùng\n- Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo"
cha1000-20,"- (IMG_KEY: chai-pet-dong-co-1000-20)\n- Chai 1000-20 (Chai tròn trắng trong 1 lit pet, phi 35, nắp chụp đỏ 175ml)\n- Chỉ nên đóng cỏ SL\n- THU1000-09\n- 20 chai / thùng\n- Chỉ nên đóng cỏ SL, không nên đóng SC, EC vì trọng lượng chai không đảm bảo"
seal logo chai pet đóng cỏ,(IMG_KEY: nap-logo-chai-pet-dong-co)
nắp logo chai pet đóng cỏ,(IMG_KEY: seal-logo-chai-pet-dong-co)
bộ hd xám (chai hd không đóng được liệu ec),1. Chai HD 240-08 (IMG_KEY: chai-hd-240-08)\n2. Chai HD 480-03 (IMG_KEY: chai-hd-480-03)\n3. Chai HD 1000-06 (IMG_KEY: chai-hd-1000-06)\n4. Chai ZEROANVIL (IMG_KEY: chai-hd-zeroanvil)
cha240-08,"- (IMG_KEY: chai-hd-240-08)\n- Chai 240-08 (Chai tròn xám 240ml HDPE, phi 44, nắp xanh lá)\n- Đóng được các dạng SC, SL\n- THU240-08\n- 40 chai / thùng\n- Không đóng được dạng EC"
cha480-03,"- (IMG_KEY: chai-hd-480-03)\n- Chai 480-03 (Chai tròn xám 480ml HDPE, phi 44, nắp xanh lá)\n- Đóng được các dạng SC, SL\n- THU480-08\n- 30 chai / thùng\n- Không đóng được dạng EC"
cha1000-06,"- (IMG_KEY: chai-hd-1000-06)\n- Chai 1000-06 (Chai tròn xám 1 lit HDPE, phi 44, nắp xanh lá)\n- Đóng được các dạng SC, SL\n- THU1000-03\n- 20 chai / thùng\n- Có thể đóng SC các loại, không đóng EC"
nắp logo chai hd,(IMG_KEY: nap-logo-chai-hd-1000-06)
seal logo chai hd,(IMG_KEY: seal-logo-chai-hd-1000-06)
cha1000-zeroanvil,"NHÃN CHAI HARUKO 5SC (ZEROANVIL) - 1 LÍT - AGRISHOP (CHAI TRÒN TRẮNG SỮA 1000-ZEROANVIL: 278 x 124MM)\n- (IMG_KEY: chai-hd-1000-zeroanvil)\n- Chai 1000-ZEROANVIL (Chai tròn trắng 1 lit HD, phi 45, nắp xanh lá)\n- Đóng được tất cả các sản phẩm dạng SC; SL\n- THU1000-ZEROANVIL (thùng riêng)\n- 12 chai / thùng\n- Có thể đóng SC các loại, không đóng EC. 0\n5.09.2024 PTN kiểm tra đóng được HARUKO, MEKONGVIL"
thu1000-zeroanvil,"(IMG_KEY: nhan-THU1000-ZEROANVIL)"""
một số mã chai lẻ khác,"1. Chai pet tròn tím, nắp tím (IMG_KEY: chai-240-09)\n2. Chai pet tròn đen (IMG_KEY: chai-480-08)\n3. Chai vuông đục HDPE (IMG_KEY: chai-1000-07)\n4. Chai BASTAR 1 LÍT HDPE (IMG_KEY: chai-1000-18)\n5. Can xanh nhạt, nắp xanh (IMG_KEY: can-05L-01)\n6. Can xanh đậm, nắp đỏ 5L (IMG_KEY: can-5000-0002)\n7. Chai CHA240 vàng nhạt HDPE nắp vàng (IMG_KEY: chai-240-basaga)"
cha480-08 (chai pet tròn đen),"- (IMG_KEY: chai-480-08)\n- Chai 480-08 (Chai tròn đen 480ml pet, phi 30.5, nắp xanh lá)\n- Hiện tại chỉ đóng Forsan 40EC - Delta\n- THU480-01\n- 30 chai / thùng\n- Hiện tại chỉ đóng Forsan 40EC - Delta"
cha1000-07 (chai vuông đục hdpe),"- (IMG_KEY: chai-1000-07)\n- Chai 1000-07 (chai vuông trắng đục 1 lit HDPE, phi 39, nắp đỏ, logo)\n- Đóng cỏ SL, hiện đang đóng Kenbast 900ml, Diquat 900ml\n- THU1000-05\n- 25 chai / thùng\n- Chai chỉ đóng được dung tích 900ml, không đóng được 1000ml, không đóng EC"
cha1000-18 (chai bastar 1lit hdpe),"- (IMG_KEY: chai-1000-18)\n- Chai 1000-18 (Chai Bastar 1 lit HDPE, phi 49, nắp trắng logo chuyển ngày 11.0\n3.2025\n- Đóng cỏ SL\n- THU1000-03\n- 20 chai / thùng\n- Không đóng được dạng EC. Trọng lượng tối thiểu 115gr (0\n7.10.2024). KH triển khai nắp (seal) logo"
"cha05l-01 (can xanh nhạt, nắp xanh)","- (IMG_KEY: can-05L-01)\n- Chai 05L-01 (Can xanh nhạt 5 lit HDPE, phi 44, nắp xanh, logo)\n- Đóng được các dạng SC, SL, không đóng được EC\n- THU5L-01\n- 4 chai / thùng\n- Có thể đóng SC các loại, không đóng EC"
"chag-5000-0002 (can xanh đậm, nắp đỏ 5l)","- (IMG_KEY: can-5000-0002)\n- Can xanh đậm, 5 lit HDPE, nắp đỏ\n- Đóng được các dạng SC, SL\n- THU5L-01\n- 4 chai / thùng\n- Không đóng EC"
cha240-basaga (cha240 vàng nhạt hdpe nắp vàng),"- (IMG_KEY: chai-240-basaga)\n- Chai 240-BASAGA (Chai tròn vàng 240ml HDPE, 40gr, phi 49, nắp vàng)\n- Đóng được các dạng SC, SL, không đóng được EC\n- THU240-08\n- 40 chai / thùng\n- Có thể đóng SC các loại, không đóng EC, Gardona 250SL. 0\n5.09.2024 PTN kiểm tra đóng được Bentazone 480SL"
cha240-09,"- (IMG_KEY: chai-240-09)\n- Chai pet tròn tím, nắp tím đóng\n- Đóng được các dạng SC, SL\n- Đóng 240-02\n- 40 chai / thùng\n- Đang đóng FORZATE chưa test liệu (46g). Không đóng được Gardona 250SL"
nắp logo chai lẻ khác,- (IMG_KEY: nap-xanh-logo-bmc)\n- (IMG_KEY: nap-do-logo-bmc)
seal logo chai lẻ khác,(IMG_KEY: seal-logo-bmc)
lưu ý: chai 1000-07 hd vuông 1 lít: nắp logo bmc và đáy chai có logo bmc,- (IMG_KEY: chai-hd-1000-07-nap-logo-bmc)\n- (IMG_KEY: nap-logo-1000-07)\n- (IMG_KEY: day-chai-logo-1000-07)\n- (IMG_KEY: seal-logo-1000-07)
chai 1000-18 – nắp logo + seal logo 10.0\n3.2025,- (IMG_KEY: chai-hd-1000-18)\n- (IMG_KEY: nap-logo-1000-18)\n- (IMG_KEY: seal-logo-1000-18)
bộ chai đặt riêng cho khách > chuyển bộ dùng chung,1. BỘ BASP (Mẫu dùng chung 240-480)\n2. BỘ BAYE (Mẫu dùng chung 240-480)\n3. CHAI NHÔM BẠC (Chai nhôm tròn bạc 500ml 480-06)(IMG_KEY: bo-chai-dat-rieng-cho-khach)
cha240-basp (bộ chai basp),"- (IMG_KEY: chai-240-basp)\n- Chai BASP trắng đục 240ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU240-08\n- 40 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023)"
cha480-basp (bộ chai basp),"- (IMG_KEY: chai-480-basp)\n- Chai BASP trắng đục 480ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU480-04\n- 30 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023)"
cha240-baye (bộ chai baye),"- (IMG_KEY: chai-240-baye)\n- Chai BAYE trắng đục 240ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU240-02\n- 40 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023). Đóng được Bentazone 480SL KQ test 0\n7.11.2024"
cha480-baye (bộ chai baye),"- (IMG_KEY: chai-480-baye)\n- Chai BAYE trắng đục 480ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU450-01\n- 30 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023)"
cha480-11,"- (IMG_KEY: chai-nhom-bac-480-11)\n- Chai 480-11 (Chai nhôm tròn màu bạc 480ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- Thường đóng thùng khách hàng mang tới\n- Không đóng SC"
bộ chai đặt riêng cho khách (1 lít),- (IMG_KEY: chai-BASP-1LIT-115gr)\n- (IMG_KEY: chai-BAYE-1LIT-115gr)
chag-240-0002,"- (IMG_KEY: chai-240-0002)\n- Chai BAYE trắng đục 240ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU240-08\n- 40 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023)"
chag-480-0002,"- (IMG_KEY: chai-480-0002)\n- Chai BAYE trắng đục 480ml HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU450-01\n- 30 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023)"
chag-1000-0002,"- (IMG_KEY: chai-1000-0002)\n- Chai BAYE trắng đục 1 lit HDPE, nắp trắng\n- Đóng được các dạng SC, SL\n- THU1000-03\n- 20 chai / thùng\n- Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0\n3.2023). Trọng lượng tối thiểu 115gr (0\n7.10.2024)"
chag-100-0015,"- (IMG_KEY: chai-100-0015)\n- Chai 100-15 (Chai nhôm tròn màu bạc 100ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- Lâu lắm chưa đóng, check lại thùng\n- Không đóng SC"
chag-240-0007,"- (IMG_KEY: chai-240-0007)\n- Chai 240-0007 (Chai nhôm tròn màu bạc 240ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- THU240-06\n- 40 chai / thùng\n- Không đóng SC"
chag-240-0009,"- (IMG_KEY: chai-240-0009)\n- Chai 240-09 (Chai nhôm tròn màu vàng 240ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- THU240-06\n- 40 chai / thùng\n- Không đóng SC"
chag-480-0005,"- (IMG_KEY: chai-480-0005)\n- Chai 480-05 (Chai nhôm tròn màu vàng 480ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- Thường đóng thùng khách hàng mang tới\n- Không đóng SC"
chag-480-0006,"- (IMG_KEY: chai-480-0006)\n- Chai 480-06 (Chai nhôm tròn màu bạc 480ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- Thường đóng thùng khách hàng mang tới\n- Không đóng SC"
chag-1000-0005,"- (IMG_KEY: chai-1000-0005)\n- Chai 1000-05 (Chai nhôm tròn màu bạc 1000ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- THU1000-03\n- 20 chai / thùng\n- Không đóng SC"
chag-1000-0008,"- (IMG_KEY: chai-1000-0008)\n- Chai 1000-08 (Chai nhôm tròn màu vàng 1000ml, nắp trắng 3 bộ phận)\n- Đóng EC, SL\n- THU1000-03\n- 20 chai / thùng\n- Không đóng SC"
bộ chai đặt riêng cho khách,(IMG_KEY: bo-chai-dat-rieng-cho-khach-1)
bộ chai khách hàng mang tới,1. CHO VỀ THEO KẾ HOẠCH SẢN XUẤT\n2. GỬI MẪU TRƯỚC CHO VẬT TƯ > THIẾT KẾ NHÃN
thùng,1. THÙNG 5 LỚP CHỐNG THẤM\n2. THÙNG 5 LỚP CHẤT LƯỢNG NHƯ 7 LỚP\n3. THÙNG 7 LỚP CÁN MÀNG\n4. THÙNG OFFSET
thùng offset,1. Q7 900ML BMC\n2. Q7 900ML PHÚC THỊNH\n3. Q10 900ML DELTA\n4. TRÂU RỪNG MỚI 900ML DELTA\n5. GUSSI NHÃN ĐỎ 900ML DELTA\n6. VOI RỪNG 900ML AGRISHOP\n7. PHƯỢNG HOÀNG LỬA 900ML DELTA\n8. Q7 \n4.5LIT BMC\n9. Q7 \n4.5LIT PHÚC THỊNH\n10. Q10 \n4.5LIT DELTA\n11. TRÂU RỪNG MỚI \n4.5LIT DELTA
thay đổi trên thùng,- (IMG_KEY: thay-doi-tren-thung-1)\n- (IMG_KEY: thay-doi-tren-thung-2)\n- (IMG_KEY: thay-doi-tren-thung-3)
thùng q7 900ml bmc,(IMG_KEY: thung-q7-900ml-bmc)
thùng q7 900ml phúc thịnh,(IMG_KEY: thung-q7-900ml-phuc-thinh)
thùng q10 900ml delta,(IMG_KEY: thung-q10-900ml-delta)
thùng trâu rừng mới 900ml delta,(IMG_KEY: thung-trau-rung-moi-900ml-delta)
thùng gussi nhãn đỏ 900ml delta,(IMG_KEY: thung-gussi-nhan-do-900ml-delta)
thùng voi rừng 900ml agrishop,(IMG_KEY: thung-voi-rung-900ml-agrishop)
thùng phượng hoàng lửa 900ml delta,(IMG_KEY: thung-phuong-hoang-lua-900ml-delta)
