id,question,answer,category,tags,alt_questions
vai_tr_v_t_m_quan_chunk_02,"Ý nghĩa văn hóa của cây lúa đối với người Việt Nam như thế nào?","Cây lúa gắn liền với nền văn minh lúa nước lâu đời, thể hiện sự cần cù, đoàn kết của người Việt. Hình ảnh cây lúa và cánh đồng lúa đi vào thơ ca, âm nhạc, hội họa, biểu tượng cho sự ấm no, hạnh phúc của người dân. Ngoài ra, cây lúa còn tạo nên nền văn hóa ẩm thực đa dạng, gắn kết cộng đồng trong các dịp lễ, Tết cổ truyền.","van_hoa","cay_lua|van_hoa|lua_nuoc|am_thuc|tet|doan_ket","Cây lúa có vai trò gì trong văn hóa Việt Nam?|Ý nghĩa văn hóa của cây lúa là gì?|Cây lúa ảnh hưởng thế nào đến đời sống tinh thần người Việt?"
vai_tr_v_t_m_quan_chunk_03,"Cây lúa góp phần bảo vệ môi trường như thế nào?","Cây lúa giúp giữ nước, chống xói mòn đất, điều hòa khí hậu và tạo môi trường sống cho nhiều sinh vật, góp phần bảo vệ và duy trì hệ sinh thái tự nhiên.","moi_truong","cay_lua|moi_truong|giu_nuoc|chong_xoi_mon|dieu_hoa_khi_hau|sinh_vat","Cây lúa có tác động gì đến môi trường?|Vai trò của cây lúa trong bảo vệ môi trường là gì?|Cây lúa giúp gì cho hệ sinh thái tự nhiên?"
vai_tr_v_t_m_quan_qa_01,"Cây lúa có vai trò gì trong đời sống kinh tế của nông dân Việt Nam?","Cây lúa là nguồn thu nhập chính, tạo kế sinh nhai cho hàng chục triệu nông dân Việt Nam, giúp họ ổn định cuộc sống và phát triển kinh tế.","kinh_te","cay_lua|nong_dan|kinh_te|luong_thuc|thu_nhap","Cây lúa ảnh hưởng thế nào đến đời sống nông dân?|Vai trò của cây lúa với nông dân Việt Nam là gì?|Cây lúa giúp nông dân Việt Nam ra sao?"
vai_tr_v_t_m_quan_qa_02,"Tại sao Việt Nam được xem là một trong những nước xuất khẩu gạo hàng đầu thế giới?","Việt Nam có ngành sản xuất lúa gạo truyền thống và quy mô lớn, sản lượng cao, giúp nước ta trở thành một trong những quốc gia xuất khẩu gạo hàng đầu thế giới, mang lại nguồn thu ngoại tệ lớn.","kinh_te","xuat_khau|gao|cay_lua|san_luong|ngoai_te","Việt Nam xuất khẩu gạo như thế nào trên thế giới?|Lý do Việt Nam là nước xuất khẩu gạo lớn là gì?|Tại sao gạo Việt Nam được xuất khẩu nhiều?"
vai_tr_v_t_m_quan_qa_03,"Hình ảnh cây lúa được thể hiện như thế nào trong văn hóa Việt Nam?","Hình ảnh cây lúa và cánh đồng lúa xuất hiện trong thơ ca, âm nhạc, hội họa, biểu tượng cho sự ấm no, hạnh phúc và là phần không thể thiếu trong đời sống tinh thần của người dân Việt Nam.","van_hoa","cay_lua|van_hoa|thoa_ca|am_nhac|hoi_hoa|lua_nuoc","Cây lúa xuất hiện ra sao trong văn hóa Việt Nam?|Ý nghĩa hình ảnh cây lúa trong nghệ thuật Việt Nam là gì?|Cây lúa được thể hiện thế nào trong thơ ca và âm nhạc?"
vai_tr_v_t_m_quan_qa_04,"Cây lúa góp phần như thế nào vào việc bảo vệ môi trường?","Cây lúa giúp giữ nước, chống xói mòn đất, điều hòa khí hậu và tạo môi trường sống cho nhiều sinh vật, góp phần duy trì cân bằng sinh thái và bảo vệ môi trường tự nhiên.","moi_truong","cay_lua|moi_truong|giu_nuoc|chong_xoi_mon|dieu_hoa_khi_hau|sinh_vat","Cây lúa giúp bảo vệ môi trường ra sao?|Tác động của cây lúa đến môi trường là gì?|Vai trò của cây lúa trong hệ sinh thái như thế nào?"
q_a_tr_nh_sinh_tr_n_chunk_01,"Quá trình sinh trưởng và phát triển của cây lúa gồm những giai đoạn nào?","Quá trình sinh trưởng và phát triển của cây lúa được chia thành 5 giai đoạn chính: 1. Giai đoạn trước sạ; 2. Giai đoạn sau sạ (từ 0 đến 15 ngày); 3. Giai đoạn sinh trưởng, đẻ nhánh (từ 15 đến 40 ngày); 4. Giai đoạn làm đòng, trổ bông (từ 41 đến 90 ngày); 5. Giai đoạn lúa chín đến thu hoạch.","sinh_truong_lua","qua_trinh_sinh_truong|cay_lua|giai_doan_phat_trien|nong_nghiep|lua","quy_trinh_phat_trien_cay_lua|cac_giai_doan_cay_lua|cay_lua_phat_trien_nhu_the_nao"
q_a_tr_nh_sinh_tr_n_qa_01,"Giai đoạn sau sạ của cây lúa kéo dài trong bao lâu?","Giai đoạn sau sạ của cây lúa kéo dài từ 0 đến 15 ngày sau khi gieo hạt, là thời kỳ cây bắt đầu phát triển sau khi được sạ.","sinh_truong_lua","giai_doan_sau_sa|lua|phat_trien_cay_lua|nong_nghiep","thoi_gian_giai_doan_sau_sa|giai_doan_sau_sa_keo_dai_bao_lau|lua_sau_sa_phat_trien_nhu_the_nao"
q_a_tr_nh_sinh_tr_n_qa_02,"Giai đoạn làm đòng và trổ bông của cây lúa diễn ra trong khoảng thời gian nào?","Giai đoạn làm đòng và trổ bông của cây lúa diễn ra từ ngày thứ 41 đến ngày thứ 90 kể từ khi sạ, đây là giai đoạn cây chuẩn bị cho quá trình tạo hạt và thu hoạch.","sinh_truong_lua","giai_doan_lam_dong|tro_bong|lua|phat_trien_cay_lua|nong_nghiep","khoang_thoi_gian_lam_dong|lua_lam_dong_va_tro_bong_khi_nao|giai_doan_lam_dong_cua_cay_lua"
q_a_tr_nh_sinh_tr_n_qa_03,"Giai đoạn sinh trưởng và đẻ nhánh của cây lúa bắt đầu và kết thúc khi nào?","Giai đoạn sinh trưởng và đẻ nhánh của cây lúa bắt đầu từ ngày thứ 15 và kết thúc vào ngày thứ 40 sau khi sạ, trong giai đoạn này cây phát triển thân và tạo nhánh để tăng năng suất.","sinh_truong_lua","giai_doan_de_nhan|sinh_truong|lua|nong_nghiep|phat_trien_cay_lua","lua_de_nhan_khi_nao|giai_doan_sinh_truong_va_de_nhan|lua_sinh_truong_tu_ngay_may_den_ngay_may"
1_giai_o_n_tr_c_s_chunk_01,Xử lý cỏ dại và ốc trong giai đoạn trước sạ cần thực hiện như thế nào?,Trong giai đoạn trước sạ, việc xử lý cỏ dại nên thực hiện từ 15-30 ngày trước khi sạ để đảm bảo ruộng sạch sẽ. Còn việc xử lý ốc nên tiến hành từ 1-2 ngày trước sạ để hiệu quả diệt ốc cao nhất.,giai_doan_truoc_sa,xu_ly_co_dai|xu_ly_oc|truoc_sa|nong_nghiep|thuoc_bao_ve_thuc_vat,Xử lý cỏ dại và ốc trong giai đoạn trước sạ cần làm gì?|Giai đoạn trước sạ xử lý cỏ dại và ốc như thế nào?|Cách xử lý cỏ dại và ốc trước khi sạ là gì?
1_giai_o_n_tr_c_s_chunk_02,Thuốc và liều lượng dùng để trừ ốc trên 1 mẫu ruộng là gì?,Để trừ ốc trên 1 mẫu ruộng, thường dùng 4 chai Aba 3.6 đục 450ml kết hợp với 10 gói Oosaka 100g (xịt). Ngoài ra, có thể sử dụng các thuốc như Faptac, Somethrin, Biperin, Bpalatox với liều lượng 100ml pha trong 25L nước để phòng trừ cua không đục bờ và ăn lúa.,giai_doan_truoc_sa,thuoc_tru_oc|liều_luong_thuoc|nong_nghiep|bao_ve_thuc_vat|thuoc_bao_ve,Xuất thuốc và liều lượng dùng để trừ ốc trên ruộng là gì?|Thuốc nào và liều lượng bao nhiêu để trừ ốc trên 1 mẫu ruộng?|Cách sử dụng thuốc trừ ốc trên ruộng như thế nào?
1_giai_o_n_tr_c_s_qa_01,Thời gian xử lý cỏ dại trước khi sạ là bao lâu?,Thời gian xử lý cỏ dại nên thực hiện từ 15 đến 30 ngày trước khi sạ để đảm bảo hiệu quả diệt cỏ và chuẩn bị đất tốt cho cây lúa phát triển.,giai_doan_truoc_sa,xu_ly_co_dai|thoi_gian_xu_ly|truoc_sa|nong_nghiep|thuoc_bao_ve_thuc_vat,Thời gian xử lý cỏ dại trước khi sạ là bao nhiêu ngày?|Khi nào nên xử lý cỏ dại trước sạ?|Xử lý cỏ dại trước sạ cần thực hiện trong khoảng thời gian nào?
1_giai_o_n_tr_c_s_qa_02,Thời gian xử lý ốc trước khi sạ là bao nhiêu ngày?,Việc xử lý ốc nên được tiến hành từ 1 đến 2 ngày trước khi sạ để đảm bảo hiệu quả diệt ốc cao và bảo vệ cây lúa mới trồng.,giai_doan_truoc_sa,xu_ly_oc|thoi_gian_xu_ly|truoc_sa|nong_nghiep|thuoc_bao_ve_thuc_vat,Thời gian xử lý ốc trước khi sạ là bao nhiêu ngày?|Khi nào nên xử lý ốc trước sạ?|Xử lý ốc trước sạ cần thực hiện trong khoảng thời gian nào?
1_giai_o_n_tr_c_s_qa_03,Những loại thuốc nào được dùng để phòng trừ cua không đục bờ và ăn lúa?,Các loại thuốc dùng để phòng trừ cua không đục bờ và ăn lúa bao gồm Faptac, Somethrin, Biperin và Bpalatox. Liều lượng sử dụng là 100ml thuốc pha trong 25L nước.,giai_doan_truoc_sa,thuoc_phong_tru_cua|thuoc_bao_ve_thuc_vat|nong_nghiep|bao_ve_thuc_vat,Thuốc nào dùng để phòng trừ cua không đục bờ và ăn lúa?|Các loại thuốc phòng trừ cua không đục bờ và ăn lúa là gì?|Cách phòng trừ cua không đục bờ và ăn lúa bằng thuốc nào?
2_giai_o_n_sau_s_chunk_01,Giai đoạn sau sạ trong trồng lúa kéo dài bao lâu và có đặc điểm gì chính?,Giai đoạn sau sạ kéo dài từ 0 đến 15 ngày tính từ khi gieo hạt xuống ruộng đến khi cây lúa có khoảng 3–4 lá thật. Đây là giai đoạn mạ non, đặt nền móng cho sự sinh trưởng sau này với việc hình thành bộ rễ, thân lá ban đầu và khả năng đẻ nhánh về sau.,giai_doan_sau_sa,giai_doan_sau_sa|mạ_non|phat_trien_cay_lua|hinh_thanh_bo_re|de_nhanh,"Giai đoạn sau sạ là gì? | Giai đoạn sau sạ kéo dài trong bao lâu? | Đặc điểm chính của giai đoạn sau sạ là gì?"
2_giai_o_n_sau_s_qa_01,Trong giai đoạn 0-15 ngày sau sạ, cây lúa phát triển những bộ phận nào quan trọng?,Trong giai đoạn 0-15 ngày sau sạ, cây lúa phát triển bộ rễ, thân lá ban đầu và bắt đầu hình thành khả năng đẻ nhánh, đây là các bộ phận quan trọng để đảm bảo sự sinh trưởng và phát triển sau này của cây.,phat_trien_cay_lua,bo_re|than_la|de_nhanh|giai_doan_sau_sa|phat_trien,"Cây lúa phát triển những bộ phận nào trong giai đoạn sau sạ? | Những bộ phận quan trọng của cây lúa trong 15 ngày đầu sau sạ là gì? | Giai đoạn sau sạ cây lúa hình thành gì?"
2_giai_o_n_sau_s_qa_02,Việc sử dụng 2 chai rice up 450ml phun trong giai đoạn 8-15 ngày sau sạ có mục đích gì?,Việc sử dụng 2 chai rice up 450ml phun trong giai đoạn 8-15 ngày sau sạ nhằm hỗ trợ cây lúa phát triển khỏe mạnh trong giai đoạn mạ non, giúp tăng cường sự sinh trưởng của bộ rễ và thân lá, đồng thời thúc đẩy khả năng đẻ nhánh sau này.,phan_bon_ung_dung,rice_up|phun_thuoc|giai_doan_sau_sa|phat_trien_cay_lua|bo_re,"Tại sao cần phun 2 chai rice up 450ml trong giai đoạn 8-15 ngày? | Mục đích của việc phun rice up trong giai đoạn sau sạ là gì? | Công dụng của rice up 450ml trong giai đoạn mạ non?"
2_giai_o_n_sau_s_qa_03,Thời điểm phun thuốc xạ hoặc sau xạ trong giai đoạn sau sạ là khi nào?,Thời điểm phun thuốc xạ hoặc sau xạ trong giai đoạn sau sạ là từ 1 đến 2 ngày sau khi gieo hạt, nhằm bảo vệ cây mạ non và hỗ trợ sự phát triển ban đầu của cây lúa.,thoi_diem_phun_thuoc,xạ|sau_xạ|phun_thuoc|giai_doan_sau_sa|bao_ve_cay_lua,"Khi nào nên phun thuốc xạ hoặc sau xạ trong giai đoạn sau sạ? | Thời điểm phun thuốc bảo vệ cây lúa sau sạ là gì? | Phun thuốc xạ trong giai đoạn mạ non khi nào?"
3_giai_o_n_sinh_tr_chunk_01,"Giai đoạn sinh trưởng đẻ nhánh của cây lúa diễn ra trong khoảng thời gian nào?","Giai đoạn sinh trưởng đẻ nhánh của cây lúa diễn ra từ 15 đến 40 ngày sau khi gieo sạ, kéo dài khoảng 25 ngày tùy thuộc vào giống, thời vụ và điều kiện canh tác.","sinh_truong","giai_doan_sinh_truong|de_nhanh|lua|gieo_sa|phat_trien","Giai đoạn đẻ nhánh của lúa bắt đầu và kết thúc khi nào?|Thời gian diễn ra giai đoạn đẻ nhánh của cây lúa là bao lâu?|Khi nào cây lúa bước vào giai đoạn đẻ nhánh?"
3_giai_o_n_sinh_tr_chunk_02,"Những đặc điểm sinh trưởng chính của cây lúa trong giai đoạn đẻ nhánh là gì?","Trong giai đoạn đẻ nhánh (15-40 ngày sau gieo sạ), cây lúa đã ra được 4-5 lá thật, bộ rễ phát triển mạnh và bắt đầu hình thành các nhánh con (chồi) từ các nách lá, giúp cây phát triển sinh dưỡng mạnh mẽ.","sinh_truong","lua|de_nhanh|bo_re|nanh_la|phat_trien_sinh_duong","Cây lúa có những đặc điểm sinh trưởng nào trong giai đoạn đẻ nhánh?|Đặc điểm phát triển của cây lúa từ 15-40 ngày sau gieo sạ là gì?|Giai đoạn đẻ nhánh cây lúa có những biểu hiện sinh trưởng nào?"
3_giai_o_n_sinh_tr_chunk_03,"Biện pháp phòng trừ sâu bệnh và cỏ dại trong giai đoạn đẻ nhánh của cây lúa là gì?","Trong giai đoạn 15-40 ngày sau gieo sạ, bọ trĩ và muỗi hành gây hại mạnh cho cây lúa. Để phòng trừ cỏ chác lác trong giai đoạn 15-30 ngày, nên sử dụng 100-125ml thuốc bentazole. Đây là biện pháp hiệu quả giúp bảo vệ cây lúa trong giai đoạn sinh trưởng quan trọng này.","phong_tru_sau_benh","phong_tru|sau_benh|co_dai|bentazole|lua|de_nhanh","Làm thế nào để phòng trừ sâu bệnh và cỏ dại trong giai đoạn đẻ nhánh của lúa?|Biện pháp xử lý cỏ chác lác trong giai đoạn đẻ nhánh là gì?|Cách phòng trừ bọ trĩ và muỗi hành trong giai đoạn sinh trưởng đẻ nhánh của cây lúa?"
4_giai_o_n_l_m_n_chunk_01,"Giai đoạn làm đòng và trổ bông của lúa diễn ra trong khoảng thời gian nào?","Giai đoạn làm đòng của lúa diễn ra khoảng từ 35 đến 45 ngày sau khi sạ, còn giai đoạn trổ bông diễn ra từ 60 đến 85 ngày sau khi sạ.","giai_doan_lua","giai_doan_lua|lam_dong|tro_bong|thoi_gian|lua","Giai đoạn làm đòng của lúa kéo dài bao lâu? | Thời gian trổ bông của lúa là khi nào? | Khi nào lúa bước vào giai đoạn làm đòng và trổ bông?"
4_giai_o_n_l_m_n_chunk_02,"Những dấu hiệu nhận biết giai đoạn làm đòng của lúa là gì?","Trong giai đoạn làm đòng, lá lúa có màu vàng chanh, đứng thẳng, dày và cứng cáp, đồng thời chóp lá gần đỉnh xuất hiện hiện tượng 'thắt eo'.","giai_doan_lua","lam_dong|dau_hieu|la_lua|thuat_ngu|lua","Làm thế nào để nhận biết giai đoạn làm đòng của lúa? | Dấu hiệu đặc trưng của giai đoạn làm đòng là gì? | Lá lúa có đặc điểm gì trong giai đoạn làm đòng?"
4_giai_o_n_l_m_n_chunk_03,"Dấu hiệu nhận biết giai đoạn trổ bông của lúa gồm những gì?","Giai đoạn trổ bông được nhận biết qua các dấu hiệu như bụng lá phình to (lá cờ), xuất hiện sương đọng trên đầu lá đòng và đòng lúa bắt đầu lộ ra ngoài từ bẹ lá.","giai_doan_lua","tro_bong|dau_hieu|la_lua|dong_lua|lua","Làm sao để nhận biết lúa đang trổ bông? | Dấu hiệu đặc trưng của giai đoạn trổ bông là gì? | Các biểu hiện của lúa khi trổ bông?"
4_giai_o_n_l_m_n_qa_01,"Giai đoạn làm đòng của lúa còn được gọi là gì?","Giai đoạn làm đòng của lúa còn được gọi là tượng đòng.","giai_doan_lua","lam_dong|tuong_dong|lua|giai_doan","Giai đoạn làm đòng có tên gọi khác là gì? | Tượng đòng là giai đoạn nào của lúa? | Làm đòng còn gọi là gì?"
4_giai_o_n_l_m_n_qa_02,"Tại sao cần phòng trừ sâu hại và bệnh vào khoảng ngày thứ 45 sau sạ?","Vào khoảng ngày thứ 45 sau sạ, lúa bước vào giai đoạn chuẩn bị đón đòng nên cần phòng trừ sâu hại và bệnh như sâu cuốn lá, đục thân, đạo ôn, vàng lá, bạc lá để bảo vệ cây và đảm bảo năng suất.","giai_doan_lua","phong_tru|sau_hai|benh|lua|giai_doan","Tại sao phải phòng trừ sâu bệnh vào ngày 45 sau sạ? | Ngày 45 sau sạ có vai trò gì trong phòng trừ sâu bệnh? | Vì sao giai đoạn 45 ngày quan trọng trong chăm sóc lúa?"
4_giai_o_n_l_m_n_qa_03,"Các loại sâu bệnh cần phòng trừ trong giai đoạn 45 ngày sau sạ là gì?","Các loại sâu bệnh cần phòng trừ gồm sâu cuốn lá, sâu đục thân, bệnh đạo ôn, vàng lá và bạc lá.","giai_doan_lua","sau_hai|benh|phong_tru|lua|giai_doan","Những loại sâu bệnh nào cần được phòng trừ ở giai đoạn 45 ngày? | Các bệnh thường gặp trong giai đoạn 45 ngày là gì? | Sâu cuốn lá và đục thân có ảnh hưởng như thế nào đến lúa?"
5_giai_o_n_l_a_ch_n_chunk_01,"Giai đoạn lúa chín kéo dài bao lâu và gồm những thời kỳ nào?","Giai đoạn lúa chín kéo dài khoảng 30 ngày, bắt đầu từ khi lúa trổ bông đến khi thu hoạch. Giai đoạn này gồm 3 thời kỳ chính là chín sữa, chín sáp và chín hoàn toàn.","giai_doan_lua_chin","lua|giai_doan|chin|thu_hoach|thoi_ky|nong_nghiep","Giai đoạn lúa chín gồm những thời kỳ nào?|Lúa chín kéo dài trong bao lâu?|Các thời kỳ chính của giai đoạn lúa chín là gì?"
5_giai_o_n_l_a_ch_n_chunk_02,"Những tác nhân gây hại chính trong giai đoạn lúa chín là gì và ảnh hưởng như thế nào?","Trong giai đoạn lúa chín đến thu hoạch, rầy nâu và rầy lưng trắng là những tác nhân gây hại mạnh. Nếu không có biện pháp phòng trừ kịp thời, chúng sẽ ảnh hưởng xấu đến năng suất lúa.","giai_doan_lua_chin","ray_nau|ray_lung_trang|tac_nhan_gay_hai|nang_suat_lua|phong_tru|nong_nghiep","Tác nhân gây hại chính trong giai đoạn lúa chín là gì?|Rầy nâu và rầy lưng trắng ảnh hưởng thế nào đến lúa?|Làm sao để phòng trừ rầy nâu và rầy lưng trắng?"
5_giai_o_n_l_a_ch_n_chunk_03,"Các loại bệnh thường xuất hiện trong giai đoạn lúa chín là gì?","Giai đoạn lúa chín (khoảng 60-90 ngày sau sạ) xuất hiện nhiều loại bệnh gây hại mạnh trên lúa như đạo ôn, khô vằn, lem lép hạt và bạc lá.","giai_doan_lua_chin","benh_lua|dao_on|kho_van|lem_lep_hat|bac_la|giai_doan_chin","Những bệnh nào thường xuất hiện trong giai đoạn lúa chín?|Lúa chín dễ bị bệnh gì?|Các bệnh phổ biến ở giai đoạn lúa chín là gì?"
5_giai_o_n_l_a_ch_n_qa_01,"Giai đoạn lúa chín gồm những thời kỳ nào và kéo dài bao lâu?","Giai đoạn lúa chín kéo dài khoảng 30 ngày, gồm 3 thời kỳ chính là chín sữa, chín sáp và chín hoàn toàn, bắt đầu từ khi lúa trổ bông đến khi thu hoạch.","giai_doan_lua_chin","lua|giai_doan|chin|thoi_ky|nong_nghiep","Giai đoạn lúa chín có mấy thời kỳ?|Thời gian của giai đoạn lúa chín là bao lâu?|Các giai đoạn chính của lúa chín là gì?"
5_giai_o_n_l_a_ch_n_qa_02,"Tác nhân gây hại nào ảnh hưởng đến lúa trong giai đoạn chín và thu hoạch?","Rầy nâu và rầy lưng trắng là tác nhân gây hại mạnh trong giai đoạn lúa chín đến thu hoạch. Nếu không phòng trừ kịp thời, chúng sẽ làm giảm năng suất lúa.","giai_doan_lua_chin","ray_nau|ray_lung_trang|tac_nhan_gay_hai|nang_suat_lua|phong_tru","Rầy nâu và rầy lưng trắng có tác hại gì với lúa?|Làm thế nào để hạn chế rầy nâu và rầy lưng trắng?|Tác nhân gây hại chính trong giai đoạn lúa chín là gì?"
5_giai_o_n_l_a_ch_n_qa_03,"Những bệnh nào thường gây hại trên lúa trong giai đoạn chín?","Trong giai đoạn lúa chín (60-90 ngày sau sạ), các bệnh như đạo ôn, khô vằn, lem lép hạt và bạc lá thường xuất hiện và gây hại mạnh trên cây lúa.","giai_doan_lua_chin","benh_lua|dao_on|kho_van|lem_lep_hat|bac_la","Bệnh đạo ôn và khô vằn ảnh hưởng thế nào đến lúa?|Các bệnh phổ biến trong giai đoạn lúa chín là gì?|Làm sao nhận biết các bệnh trên lúa ở giai đoạn chín?"
t_ng_h_p_s_u_chunk_01,"Các chữ cái đặc biệt Ổ, Ợ, Ệ, Ạ được sử dụng trong ngôn ngữ nào và có vai trò gì?","Các chữ cái Ổ, Ợ, Ệ, Ạ là các nguyên âm có dấu trong bảng chữ cái tiếng Việt, dùng để biểu thị các âm thanh đặc trưng và giúp phân biệt nghĩa của từ trong tiếng Việt.","ngon_ngu","chu_cai_dac_biet|tieng_viet|nguyen_am|dau_cau","Chữ Ổ, Ợ, Ệ, Ạ thuộc ngôn ngữ nào?|Ý nghĩa của các chữ cái Ổ, Ợ, Ệ, Ạ trong tiếng Việt là gì?|Vai trò của các chữ cái có dấu trong tiếng Việt là gì?"
