row_index,id,issue_type,severity,detail
75,misung_15sc_gi_o_s_c_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
79,laoton_108ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
85,yosky_10sl_khai_hoang_p7_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
88,yosky_10sl_tr_ng_v_k_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
91,yosky_10sl_tr_ng_v_k_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
93,yosky_10sl_tr_u_r_ng_2_0_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
94,yosky_10sl_tr_u_r_ng_2_0_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
98,riceup_300ec_hi_u_gangster_300ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
103,gardona_250sl_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
108,dusan_240ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
110,dusan_240ec_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
113,wyncafos_10sl_ph_ng_ho_ng_l_a_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
116,tembo_8od_vua_c_ng_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
117,tembo_8od_vua_c_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
118,tembo_8od_vua_c_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
121,binhfos_50ec_anh_h_ng_s_u_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
122,binhfos_50ec_anh_h_ng_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
127,binhfos_50ec_tr_m_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
130,binhfos_50ec_vua_s_u_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
131,binhfos_50ec_vua_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
134,binhfos_50ec_vua_s_u_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
137,binhfos_50ec_dragon_vua_r_p_s_u_r_y_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
142,exami_20wg_l_ti_u_long_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
147,matscot_50sp_ch_c_m_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
148,matscot_50sp_ch_c_m_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
153,kajio_5ec_g9_th_nh_s_u_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
155,kajio_5ec_g9_th_nh_s_u_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
158,cymkill_25ec_h_nh_con_i_b_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
165,cymkill_25ec_cyru_chai_nh_m_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
168,fullkill_50ec_i_h_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
172,fullkill_50ec_i_h_n_qa_04,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
174,fullkill_50ec_nh_n_singapore_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
179,fullkill_50ec_chai_nh_m_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
184,oscare_100wp_tr_m_ch_ch_h_t_tr_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
188,kajio_1gr_alpha_anh_h_ng_s_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
191,kajio_1gr_alpha_anh_h_ng_s_ng_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
194,kajio_1gr_gold_tr_m_s_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
195,kajio_1gr_gold_tr_m_s_ng_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
199,binhtox_3_8ec_b_o_en_n_c_trong_n_c_c_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
204,nofara_35wg_vua_tr_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
206,nofara_35wg_vua_tr_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
208,nofara_35wg_recxona_35wg_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
214,nofara_350sc_vua_tr_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
215,nofara_350sc_vua_tr_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
218,nofara_350sc_vua_tr_qa_05,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
219,nofara_350sc_vua_tr_qa_06,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
220,nofara_350sc_vua_tr_qa_07,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
222,nofara_350sc_recxona_r_y_s_a_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
225,nofara_350sc_recxona_r_y_s_a_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
227,suparep_22_4sc_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
228,suparep_22_4sc_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
232,ecudor_22_4sc_vua_r_p_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
236,zigen_super_gi_o_s_tr_15sc_delta_24ml_g_i_100ml_v_ng_240ml_chai_t_m_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
239,zigen_xpro_th_nh_s_u_15sc_delta_24ml_g_i_100ml_v_ng_240ml_chai_t_m_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
240,zigen_xpro_th_nh_s_u_15sc_delta_24ml_g_i_100ml_v_ng_240ml_chai_t_m_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
243,tamatras_si_u_di_t_s_u_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
244,tamatras_si_u_di_t_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
245,tamatras_si_u_di_t_s_u_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
246,tamatras_si_u_di_t_s_u_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
251,king_kha_1ec_di_t_nh_n_s_m_s_t_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
254,buti_43sc_anh_h_ng_nh_n_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
255,buti_43sc_anh_h_ng_nh_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
256,buti_43sc_anh_h_ng_nh_n_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
260,setis_34sc_gi_o_s_nh_n_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
261,setis_34sc_gi_o_s_nh_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
262,setis_34sc_gi_o_s_nh_n_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
271,afenzole_325sc_asmika_top_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
274,afenzole_325sc_anh_h_ng_n_m_b_nh_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
276,afenzole_325sc_anh_h_ng_n_m_b_nh_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
281,probicol_200wp_khu_n_v_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
285,scortlan_80wp_tr_m_n_m_b_nh_m45_n_c_2_m_u_xanh_v_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
290,scortlan_80wp_gi_o_s_b_nh_c_2_m_u_xanh_v_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
296,hariwon_30sl_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
301,toshiro_10ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
303,toshiro_10ec_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
304,toshiro_10ec_qa_04,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
306,kasuhan_4wp_tr_m_khu_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
312,shonam_500sc_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
313,shonam_500sc_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
316,topxim_pro_30sc_nh_n_nh_t_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
323,topxim_pro_30sc_nh_n_carbendazim_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
329,sanbang_30sc_naticur_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
330,sanbang_30sc_naticur_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
333,showbiz_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
335,showbiz_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
337,basuzin_1gb_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
338,basuzin_1gb_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
341,miriphos_1gb_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
344,sam_san_2_5sc_nh_n_kim_c_ng_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
346,sam_san_2_5sc_nh_n_kim_c_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
348,sam_san_2_5sc_nh_n_kim_c_ng_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
351,bn_fosthi_10gr_suria_10_gr_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
356,forzate_20ew_th_nh_tuy_n_tr_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
358,forzate_20ew_th_nh_tuy_n_tr_ng_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
361,forzate_20ew_tr_m_tuy_n_tr_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
363,forzate_20ew_tr_m_tuy_n_tr_ng_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
366,voi_thai_3_6ec_gold_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
368,voi_thai_3_6ec_gold_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
372,abinsec_gold_ph_t_tri_n_ri_ng_1_s_kh_ch_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
375,igro_240sc_xpro_ho_ng_t_s_u_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
378,igro_240sc_xpro_ho_ng_t_s_u_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
382,abinsec_oxatin_1_8ec_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
387,binhtox_3_8ec_gold_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
390,abinsec_emaben_s_u_1_8ec_si_u_di_t_s_u_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
391,abinsec_emaben_s_u_1_8ec_si_u_di_t_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
392,abinsec_emaben_s_u_1_8ec_si_u_di_t_s_u_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
393,abinsec_emaben_s_u_1_8ec_si_u_di_t_s_u_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
394,abinsec_emaben_s_u_1_8ec_si_u_di_t_s_u_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
397,ph_n_b_n_l_bacillus_suv_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
402,gussi_bastar_200sl_long_voi_r_ng_nguy_n_li_u_l_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
405,kenbast_15sl_long_l_c_nguy_n_li_u_l_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
410,gorop_500ec_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
416,dktazole_480sl_vamco_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
422,amesip_80wp_voi_r_ng_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
424,amesip_80wp_voi_r_ng_qa_04,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
441,topmesi_40sc_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
443,topmesi_40sc_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
446,kajio_5wg_h_tr_ng_ho_ng_t_s_u_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
452,sha_chong_jing_100gr_padan_nh_t_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
456,ledan_95sp_padan_japan_t_i_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
462,ledan_95sp_panda_nh_t_t_i_tr_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
463,ledan_95sp_panda_nh_t_t_i_tr_ng_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
467,ledan_4gr_panda_4gr_t_i_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
468,ledan_4gr_panda_4gr_t_i_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
471,ledan_4gr_g_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
475,million_50wg_vua_r_y_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
476,million_50wg_vua_r_y_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
477,million_50wg_vua_r_y_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
481,million_50wg_tepenyaki_vua_ch_ch_h_t_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
485,million_50wg_tepenyaki_vua_ch_ch_h_t_qa_04,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
488,lekima_100ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
489,lekima_100ec_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
490,lekima_100ec_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
491,lekima_100ec_qa_04,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
494,takiwa_22sc_m_nh_m_nh_t_n_l_a_c_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
498,tomi_5ec_lufenuron_5ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
500,tomi_5ec_lufenuron_5ec_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
502,fortac_5ec_faptank_chai_vu_ng_tr_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
507,fortac_5ec_faptank_chai_tr_n_en_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
512,forcin_50ec_japasa_50ec_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
516,khongray_54wp_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
521,chessin_600wp_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
522,chessin_600wp_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
526,zigen_15sc_thay_fipronil_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
530,zigen_15sc_a3_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
535,emoil_99ec_spray_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
540,sinapyram_80wg_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
571,mitop_one_390sc_hello_fungi_400_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
576,xie_xie_200wp_anh_h_ng_khu_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
581,king_cide_japan_460sc_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
582,king_cide_japan_460sc_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
585,bisomin_6wp_gi_o_s_khu_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
589,pim_pim_75wp_th_nh_o_n_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
595,pim_pim_75wp_baemsing_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
599,pyrolax_250ec_paskin_h_nh_th_nh_gi_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
602,nekko_69wp_azo_mz_b_c_s_n_m_b_nh_2_m_u_xanh_v_ng_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
